date_time,hour,day,month,year,temp_C
4/7/2015 2:00,2,7,4,2015,8.3
4/7/2015 3:00,3,7,4,2015,8.3
4/7/2015 4:00,4,7,4,2015,8.3
4/7/2015 5:00,5,7,4,2015,8.2
4/7/2015 6:00,6,7,4,2015,8.2
4/7/2015 7:00,7,7,4,2015,8.2
4/7/2015 8:00,8,7,4,2015,8.2
4/7/2015 9:00,9,7,4,2015,8.2
4/7/2015 10:00,10,7,4,2015,8.2
4/7/2015 11:00,11,7,4,2015,8.2
4/7/2015 12:00,12,7,4,2015,8.2
4/7/2015 13:00,13,7,4,2015,8.3
4/7/2015 14:00,14,7,4,2015,8.2
4/7/2015 15:00,15,7,4,2015,8.2
4/7/2015 16:00,16,7,4,2015,8.2
4/7/2015 17:00,17,7,4,2015,8.2
4/7/2015 18:00,18,7,4,2015,8.2
4/7/2015 19:00,19,7,4,2015,8.2
4/7/2015 20:00,20,7,4,2015,8.3
4/7/2015 21:00,21,7,4,2015,8.2
4/7/2015 22:00,22,7,4,2015,8.3
4/7/2015 23:00,23,7,4,2015,8.4
4/8/2015 0:00,0,8,4,2015,8.4
4/8/2015 1:00,1,8,4,2015,8.4
4/8/2015 2:00,2,8,4,2015,8.4
4/8/2015 3:00,3,8,4,2015,8.3
4/8/2015 4:00,4,8,4,2015,8.5
4/8/2015 5:00,5,8,4,2015,8.4
4/8/2015 6:00,6,8,4,2015,8.4
4/8/2015 7:00,7,8,4,2015,8.3
4/8/2015 8:00,8,8,4,2015,8.4
4/8/2015 9:00,9,8,4,2015,8.4
4/8/2015 10:00,10,8,4,2015,8.3
4/8/2015 11:00,11,8,4,2015,8.3
4/8/2015 12:00,12,8,4,2015,8.3
4/8/2015 13:00,13,8,4,2015,8.2
4/8/2015 14:00,14,8,4,2015,8.2
4/8/2015 15:00,15,8,4,2015,8.2
4/8/2015 16:00,16,8,4,2015,8.1
4/8/2015 17:00,17,8,4,2015,8.1
4/8/2015 18:00,18,8,4,2015,8.2
4/8/2015 19:00,19,8,4,2015,8.1
4/8/2015 20:00,20,8,4,2015,8.1
4/8/2015 21:00,21,8,4,2015,8.1
4/8/2015 22:00,22,8,4,2015,8.3
4/8/2015 23:00,23,8,4,2015,8.2
4/9/2015 0:00,0,9,4,2015,8.2
4/9/2015 1:00,1,9,4,2015,8.2
4/9/2015 2:00,2,9,4,2015,8.2
4/9/2015 3:00,3,9,4,2015,8.2
4/9/2015 4:00,4,9,4,2015,8.2
4/9/2015 5:00,5,9,4,2015,8.2
4/9/2015 6:00,6,9,4,2015,8.3
4/9/2015 7:00,7,9,4,2015,8.3
4/9/2015 8:00,8,9,4,2015,8.2
4/9/2015 9:00,9,9,4,2015,8.3
4/9/2015 10:00,10,9,4,2015,8.2
4/9/2015 11:00,11,9,4,2015,8.3
4/9/2015 12:00,12,9,4,2015,8.2
4/9/2015 13:00,13,9,4,2015,8.2
4/9/2015 14:00,14,9,4,2015,8.2
4/9/2015 15:00,15,9,4,2015,8.1
4/9/2015 16:00,16,9,4,2015,8.2
4/9/2015 17:00,17,9,4,2015,8.1
4/9/2015 18:00,18,9,4,2015,8.2
4/9/2015 19:00,19,9,4,2015,8.2
4/9/2015 20:00,20,9,4,2015,8.3
4/9/2015 21:00,21,9,4,2015,8.3
4/9/2015 22:00,22,9,4,2015,8.3
4/9/2015 23:00,23,9,4,2015,8.2
4/10/2015 0:00,0,10,4,2015,8.3
4/10/2015 1:00,1,10,4,2015,8.4
4/10/2015 2:00,2,10,4,2015,8.3
4/10/2015 3:00,3,10,4,2015,8.5
4/10/2015 4:00,4,10,4,2015,8.4
4/10/2015 5:00,5,10,4,2015,8.4
4/10/2015 6:00,6,10,4,2015,8.4
4/10/2015 7:00,7,10,4,2015,8.5
4/10/2015 8:00,8,10,4,2015,8.5
4/10/2015 9:00,9,10,4,2015,8.5
4/10/2015 10:00,10,10,4,2015,8.5
4/10/2015 11:00,11,10,4,2015,8.5
4/10/2015 12:00,12,10,4,2015,8.5
4/10/2015 13:00,13,10,4,2015,8.5
4/10/2015 14:00,14,10,4,2015,8.6
4/10/2015 15:00,15,10,4,2015,8.6
4/10/2015 16:00,16,10,4,2015,8.6
4/10/2015 17:00,17,10,4,2015,8.7
4/10/2015 18:00,18,10,4,2015,8.5
4/10/2015 19:00,19,10,4,2015,8.5
4/10/2015 20:00,20,10,4,2015,8.6
4/10/2015 21:00,21,10,4,2015,8.6
4/10/2015 22:00,22,10,4,2015,8.7
4/10/2015 23:00,23,10,4,2015,8.8
4/11/2015 0:00,0,11,4,2015,8.9
4/11/2015 1:00,1,11,4,2015,9
4/11/2015 2:00,2,11,4,2015,8.8
4/11/2015 3:00,3,11,4,2015,8.6
4/11/2015 4:00,4,11,4,2015,8.5
4/11/2015 5:00,5,11,4,2015,8.6
4/11/2015 6:00,6,11,4,2015,8.6
4/11/2015 7:00,7,11,4,2015,8.7
4/11/2015 8:00,8,11,4,2015,8.6
